# Latitude, Longitude, COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa, COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
-77.3288,82.8522,5.02223e+17,56.6178,nan,nan,nan,56.0697,41.8831,34.264,34.1556,23.521,15.1417,232.798
-77.2072,83.6952,3.85603e+17,38.3112,nan,nan,nan,35.908,32.0604,29.6173,28.3623,19.0596,13.7208,230.73
-77.0829,84.5221,3.65072e+17,35.5911,nan,nan,nan,33.1969,30.7121,28.9376,26.9786,17.8681,13.2878,232.132
-76.9559,85.335,3.72142e+17,36.2786,nan,nan,nan,34.1617,31.5873,29.8663,27.9623,18.3696,13.4424,232.714
-77.7286,83.9396,4.70817e+17,51.9584,nan,nan,nan,51.2819,40.5822,33.9438,33.757,23.0434,15.0267,232.81
-77.6066,84.7786,3.62252e+17,34.8642,nan,nan,nan,32.8448,30.8784,29.6036,27.5265,17.9611,13.2899,231.617
-77.4822,85.6013,3.35252e+17,32.7976,nan,nan,nan,30.6626,28.4259,27.0235,24.9921,16.6432,12.8773,231.066
-77.3552,86.4095,3.46301e+17,32.2834,nan,nan,nan,30.47,29.7336,29.6063,26.9399,17.1348,12.9463,232.61
-78.1077,85.0356,5.40315e+17,49.1502,nan,nan,nan,49.8524,50.4827,49.8106,44.9483,24.9369,15.0022,233.742
-77.9849,85.8737,4.28305e+17,40.0112,nan,nan,nan,39.141,38.2698,37.6632,34.618,20.9279,14.0952,231.812
-77.8598,86.695,2.99641e+17,29.0467,nan,nan,nan,27.0743,25.1323,24.2656,22.373,15.1006,12.3215,231.979
-77.7322,87.5013,2.57752e+17,24.9507,nan,nan,nan,22.8855,20.9979,20.3001,18.6628,13.0079,11.4831,234.733
-78.4702,86.1543,6.58878e+17,57.1277,nan,nan,nan,59.2628,64.4853,66.0606,58.2102,28.9404,15.723,231.075
-78.346,86.9942,3.59933e+17,33.7926,nan,nan,nan,32.5577,31.5843,31.4205,28.6647,17.9371,13.2159,231.074
-78.2197,87.8168,3.32773e+17,31.6834,nan,nan,nan,30.309,28.9085,28.4806,25.8868,16.6106,12.8137,231.187
-78.0909,88.6238,2.77696e+17,26.5411,nan,nan,nan,24.9288,23.2912,22.8877,20.7708,13.9244,11.8261,233.431
-78.8208,87.3001,7.05301e+17,110.301,nan,nan,nan,113.429,66.1613,40.7554,42.1511,30.8102,17.4232,231.721
-78.6947,88.1449,3.49851e+17,38.9362,nan,nan,nan,37.8316,30.9524,26.4307,25.2542,17.794,13.5929,231.614
-78.5665,88.9714,2.91864e+17,29.8212,nan,nan,nan,28.5267,24.9307,23.0243,21.4496,14.8931,12.4001,231.451
-78.436,89.7817,3.18337e+17,33.704,nan,nan,nan,32.528,27.7485,24.8304,23.37,16.2049,12.9497,233.253
-79.1608,88.4999,6.20986e+17,64.8051,nan,nan,nan,65.8829,62.159,54.5665,52.0117,29.8102,16.3641,231.757
-79.0322,89.3519,4.37739e+17,42.3386,nan,nan,nan,42.1134,41.0318,39.9956,36.4054,21.5021,14.3003,231.836
-78.9016,90.1847,3.50597e+17,34.473,nan,nan,nan,33.8185,31.4611,30.33,27.7935,17.7051,13.2623,231.79
-78.7686,91.0005,2.437e+17,23.7725,nan,nan,nan,22.7645,20.3086,19.5583,17.6464,12.1433,11.1258,234.009
-79.4951,89.7541,5.95922e+17,62.4363,nan,nan,nan,63.0551,59.5423,52.8044,50.3738,29.0289,16.2547,232.294
-79.3633,90.6162,3.95001e+17,37.8208,nan,nan,nan,37.4926,36.5749,36.3427,32.6061,19.4444,13.698,232.312
-79.2295,91.458,3.06708e+17,29.9859,nan,nan,nan,29.3212,26.9139,26.1409,23.7713,15.5226,12.5127,233.595
-79.0935,92.2818,2.63385e+17,25.5357,nan,nan,nan,24.7499,22.3845,21.7825,19.6806,13.2472,11.6103,234.325
-79.8245,91.0913,8.35085e+17,70.432,nan,nan,nan,72.3433,88.4264,93.9928,78.264,33.4161,16.4235,230.881
-79.6888,91.966,4.11654e+17,39.7469,nan,nan,nan,39.465,38.4116,37.7353,34.0298,20.2245,13.9714,232.352
-79.5512,92.8191,2.61925e+17,25.6756,nan,nan,nan,24.8883,22.1552,21.3298,19.4468,13.3,11.6964,232.789
-79.4113,93.6529,3.6443e+17,35.5168,nan,nan,nan,35.0008,33.1353,32.2657,29.2648,18.1844,13.4277,233.882
-80.1524,92.5258,5.55469e+17,52.3555,nan,nan,nan,52.8479,54.7287,54.0206,48.0537,25.6089,15.2524,233.34
-80.0119,93.4157,4.00756e+17,38.7345,nan,nan,nan,38.322,37.0213,36.2475,32.7458,19.6887,13.8592,232.744
-79.8696,94.2823,3.04339e+17,29.7969,nan,nan,nan,28.9416,26.5496,25.7095,23.327,15.2824,12.4864,233.742
-79.725,95.1282,2.97891e+17,29.2192,nan,nan,nan,28.2902,25.8731,24.9766,22.6334,14.92,12.3483,235.162
-80.4802,94.0864,4.53656e+17,49.5785,nan,nan,nan,49.1757,40.7405,35.9178,36.2594,23.825,15.394,233.77
-80.3341,94.9938,2.64354e+17,26.6114,nan,nan,nan,25.3494,22.062,20.7474,19.1907,13.3941,11.8378,233.529
-80.1861,95.8759,2.4359e+17,23.765,nan,nan,nan,22.4112,19.9691,19.2584,17.5328,12.1678,11.231,234.006
